id,Car class,Car,Car_Class_ID,image file,Game,Style,DLC,Owned,FILEPATH,Iracing_ID,ams2_livery_folder
9041,Formula USA Gen 3,Reynard 2Ki Honda,9050,F-USA-Gen3 2Ki Honda,AMS2,Open Wheel,Racin' USA 2,No,,,cart_reynard_2ki_honda
9042,Formula USA Gen 3,Reynard 2Ki Mercedes-Benz,9050,F-USA-Gen3 2Ki Mercedes Benz,AMS2,Open Wheel,Racin' USA 2,No,,,cart_reynard_2ki_mercedes
9043,Formula USA Gen 3,Reynard 2Ki Toyota,9050,F-USA-Gen3 2Ki Toyota,AMS2,Open Wheel,Racin' USA 2,No,,,cart_reynard_2ki_toyota
9044,Dallara F301,F301,9051,F-3-301,AMS2,Open Wheel,,Yes,,,f301
9045,Dallara F309,F309,9022,F-3-309,AMS2,Open Wheel,,Yes,,,f309
9046,Formula Classic Gen 1,Formula Classic Gen1 Model1,9052,F-Classic-Gen1 Model 1,AMS2,Open Wheel,,Yes,,,formula_classic_g1m1
9047,Formula Classic Gen 1,Formula Classic Gen1 Model2,9052,F-Classic-Gen1 Model 2,AMS2,Open Wheel,,Yes,,,formula_classic_g1m2
9048,Formula Classic Gen 1,Lotus 98T,9052,F-Classic-Gen1 Lotus 98T,AMS2,Open Wheel,Brazilian Racing Legends,No,,,lotus_98T
9049,Formula Classic Gen 2,Formula Classic Gen2 Model1,9053,F-Classic-Gen2 Model 1,AMS2,Open Wheel,,Yes,,,formula_classic_g2m1
9050,Formula Classic Gen 2,Formula Classic Gen2 Model2,9053,F-Classic-Gen2 Model 2,AMS2,Open Wheel,,Yes,,,formula_classic_g2m2
9051,Formula Classic Gen 2,Formula Classic Gen2 Model3,9053,F-Classic-Gen2 Model 3,AMS2,Open Wheel,,Yes,,,formula_classic_g2m3
9052,Formula Classic Gen 2,McLaren MP4/4,9053,F-Classic-Gen2 McLaren MP44,AMS2,Open Wheel,Brazilian Racing Legends,No,,,mclaren_mp44
9053,Formula Classic Gen 3,Formula Classic Gen3 Model1,9054,F-Classic-Gen3 Model 1,AMS2,Open Wheel,,Yes,,,formula_classic_g3m1
